Title,Other titles,BL record ID,Type of resource,Content type,Material type,BNB number,ISBN,Name,Dates associated with name,Type of name,Role,All names,Series title,Number within series,Country of publication,Place of publication,Publisher,Date of publication,Edition,Physical description,Dewey classification,BL shelfmark,Topics,Genre,Languages,Notes
Transformation,,12029365,Monograph,Language material ; Text,Volume,GB98Y6914,9781852868345,"McFarlane, Todd",,person,,"McFarlane, Todd [person] ; Capullo, Greg [person]",Spawn,31-36 [Spawn],England,London,Titan,1998,,"1 volume, all colour illustrations, 26 cm",741.5973,YK.1999.b.6085,"Spawn (Fictitious character)--Comic books, strips, etc",Comic or graphic novel ; Horror,English,
Transformers #226 : Aspects of evil,The Transformers. Best of Megatron ; Transformers #24 : Afterdeath ; Transformers #78 : A savage circle ; Transformers : Armada #5 ; Transformers : Megatron origins #1 ; Transformers : all hail Megatron #1,15523033,Monograph,Language material ; Text,Volume,GBB046860,9781600107016,,,,,"Sarracini, Chris [person] ; Holmes, Eric [person] ; Budiansky, Bob [person] ; Furman, Simon [person] ; McCarthy, Shane, 1975- [person]",,,United States of America,"San Diego, California",,2010,,"126 pages, chiefly colour illustrations, 26 cm",741.5973,YK.2011.b.2713,"Science fiction comic books, strips, etc ; Transformers (Fictitious characters)--Comic books, strips, etc--Fiction ; Young adult fiction, American",Comic or graphic novel ; Fiction,English,"'2'--Spine ; 'Originally published by Marvel Comics as Transformers #24, Transformers #78, Transformers UK #226, by Dreamwave Productions as Transformers: Armada #5, and by IDW Publishing as Transformers: Megatron origins #1 and Transformers: all hail Megatron #1'--T.p. verso"
Transformers #24 : Afterdeath,The Transformers. Best of Megatron ; Transformers #226 : Aspects of evil ; Transformers #78 : A savage circle ; Transformers : Armada #5 ; Transformers : Megatron origins #1 ; Transformers : all hail Megatron #1,15523033,Monograph,Language material ; Text,Volume,GBB046860,9781600107016,,,,,"Sarracini, Chris [person] ; Holmes, Eric [person] ; Budiansky, Bob [person] ; Furman, Simon [person] ; McCarthy, Shane, 1975- [person]",,,United States of America,"San Diego, California",,2010,,"126 pages, chiefly colour illustrations, 26 cm",741.5973,YK.2011.b.2713,"Science fiction comic books, strips, etc ; Transformers (Fictitious characters)--Comic books, strips, etc--Fiction ; Young adult fiction, American",Comic or graphic novel ; Fiction,English,"'2'--Spine ; 'Originally published by Marvel Comics as Transformers #24, Transformers #78, Transformers UK #226, by Dreamwave Productions as Transformers: Armada #5, and by IDW Publishing as Transformers: Megatron origins #1 and Transformers: all hail Megatron #1'--T.p. verso"
Transformers #78 : A savage circle,The Transformers. Best of Megatron ; Transformers #226 : Aspects of evil ; Transformers #24 : Afterdeath ; Transformers : Armada #5 ; Transformers : Megatron origins #1 ; Transformers : all hail Megatron #1,15523033,Monograph,Language material ; Text,Volume,GBB046860,9781600107016,,,,,"Sarracini, Chris [person] ; Holmes, Eric [person] ; Budiansky, Bob [person] ; Furman, Simon [person] ; McCarthy, Shane, 1975- [person]",,,United States of America,"San Diego, California",,2010,,"126 pages, chiefly colour illustrations, 26 cm",741.5973,YK.2011.b.2713,"Science fiction comic books, strips, etc ; Transformers (Fictitious characters)--Comic books, strips, etc--Fiction ; Young adult fiction, American",Comic or graphic novel ; Fiction,English,"'2'--Spine ; 'Originally published by Marvel Comics as Transformers #24, Transformers #78, Transformers UK #226, by Dreamwave Productions as Transformers: Armada #5, and by IDW Publishing as Transformers: Megatron origins #1 and Transformers: all hail Megatron #1'--T.p. verso"
Transformers (London),Fallen star,13251239,Monograph,Language material ; Text,Volume,GBA559419,9781845760601,"Furman, Simon",,person,,"Johnson, Stuart [person] ; Coleby, Simon [person] ; Furman, Simon [person]",Transformers,,England,London,Titan,2005,,"80 pages, chiefly illustrations, 19 cm",741.5,YK.2006.a.4155,"Transformers (Fictitious characters)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Science fiction,English,"'This book collects the black and white stories from Transformers #219-222, 229, 237-239, 272-274, 282, 283, 249-250 originally published in single-issue form by Marvel Comics UK'"
Transformers (London),Perchance to dream,13349288,Monograph,Language material ; Text,Volume,GBA602203,9781845760625,,,,,"Furman, Simon [person]",Transformers,,England,London,Titan,2006,,"76 pages, chiefly illustrations, 19 cm",741.5,YK.2006.a.10673,"Science fiction comic books, strips, etc ; Transformers (Fictitious characters)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction,English,"'This book collects the black and white stories from Transformers #255-260, 230-233, 241-242 & 287-289 originally published in single-issue form by Marvel Comics UK.'"
Transformers (Motion picture : 2007),"Transformers movie collection ; Transformers, revenge of the Fallen (Motion picture)",15574763,Monograph,Language material ; Text,Volume,GBB093909,,,,,,"Khanna, Dan [person] ; Furman, Simon [person] ; Mowry, Chris [person] ; Figueroa, Don [person] ; Oprisko, Kris [person] ; Davis-Hunt, Jon [person] ; Ryall, Chris [person] ; Milne, Alex, 1980- [person]",,,United States of America,"San Diego, California",,2010,,"2 volumes, chiefly colour illustrations, 34 cm",741.5973,YK.2010.b.8398 ; YK.2010.b.8399,,Comic or graphic novel,English,"'Originally published as Transformers Movie Prequel issues #1-4, Transformers Movie Adaptation issues #1-4, and Transformers: the Reign of Starscream issues #1-5'--Vol. 1, t.p. verso ; 'Originally published as Transformers: Revenge of the Fallen: Defiance issues #1-4, Transformers: Revenge of the Fallen: Alliance issues #1-4 and Transformers: Revenge of the Fallen: official movie adaptation issues #1-4'--Vol. 2, t.p. verso"
Transformers - Genesis : the art of Transformers,,6945145,Monograph,Language material ; Text,Volume,GBA4Z0714,9781840238181,,,,,"Lee, Pat, 1975- [person]",,,England ; United States of America,"London ; Santa Monica, California",Titan,2004,,"128 pages, colour illustrations, 30 cm",741.59,,"Transformers (Fictitious characters)--Comic books, strips, etc ; Science fiction comic books, strips, etc",Comic or graphic novel,English,
Transformers : 30th anniversary collection,,16308616,Monograph,Language material ; Still image ; Text,Volume,GBB329839,9781613776629,,,,,"Furman, Simon, author [person]",,,United States of America,"San Diego, California",,2013,,"303 pages, chiefly illustrations (chiefly colour), 29 cm",741.5973,YK.2013.b.13710,"Transformers (Fictitious characters)--Comic books, strips, etc",Comic or graphic novel ; Science fiction ; Young adult fiction,English,
Transformers : Armada #5,The Transformers. Best of Megatron ; Transformers #226 : Aspects of evil ; Transformers #24 : Afterdeath ; Transformers #78 : A savage circle ; Transformers : Megatron origins #1 ; Transformers : all hail Megatron #1,15523033,Monograph,Language material ; Text,Volume,GBB046860,9781600107016,,,,,"Sarracini, Chris [person] ; Holmes, Eric [person] ; Budiansky, Bob [person] ; Furman, Simon [person] ; McCarthy, Shane, 1975- [person]",,,United States of America,"San Diego, California",,2010,,"126 pages, chiefly colour illustrations, 26 cm",741.5973,YK.2011.b.2713,"Science fiction comic books, strips, etc ; Transformers (Fictitious characters)--Comic books, strips, etc--Fiction ; Young adult fiction, American",Comic or graphic novel ; Fiction,English,"'2'--Spine ; 'Originally published by Marvel Comics as Transformers #24, Transformers #78, Transformers UK #226, by Dreamwave Productions as Transformers: Armada #5, and by IDW Publishing as Transformers: Megatron origins #1 and Transformers: all hail Megatron #1'--T.p. verso"
Transformers : Cybertron : balancing act,,13886688,Monograph,Language material ; Text,Volume,GBB142856,,"Lee, Forest",,person,,"Khanna, Dan [person] ; Lee, Forest [person]",Transformers,,United States of America,San Diego,,2007,,"76 pages, chiefly colour illustrations, 26 cm",741.5973,YK.2011.b.6388,"Transformers (Fictitious characters)--Comic books, strips, etc ; Science fiction comic books, strips, etc",Comic or graphic novel ; Novel,English,
"Transformers : IDW collection. Volume 10, phase two",,19569426,Monograph,Language material ; Still image ; Text,Volume,GBB9G7924,9781684055845,"Scott, Mairghread",,person,author,"Scott, Mairghread, author [person] ; Griffith, Andrew, 1976-, artist [person] ; Roche, Nick, artist [person] ; Howell, Corin, artist [person] ; Barber, John, author [person]",,,United States of America,San Diego,,2019,,"1 volume (unpaged), chiefly illustrations",741.5973,,"Science fiction comic books, strips, etc ; Transformers (Fictitious characters)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction,English,
Transformers : Megatron origins #1,The Transformers. Best of Megatron ; Transformers #226 : Aspects of evil ; Transformers #24 : Afterdeath ; Transformers #78 : A savage circle ; Transformers : Armada #5 ; Transformers : all hail Megatron #1,15523033,Monograph,Language material ; Text,Volume,GBB046860,9781600107016,,,,,"Sarracini, Chris [person] ; Holmes, Eric [person] ; Budiansky, Bob [person] ; Furman, Simon [person] ; McCarthy, Shane, 1975- [person]",,,United States of America,"San Diego, California",,2010,,"126 pages, chiefly colour illustrations, 26 cm",741.5973,YK.2011.b.2713,"Science fiction comic books, strips, etc ; Transformers (Fictitious characters)--Comic books, strips, etc--Fiction ; Young adult fiction, American",Comic or graphic novel ; Fiction,English,"'2'--Spine ; 'Originally published by Marvel Comics as Transformers #24, Transformers #78, Transformers UK #226, by Dreamwave Productions as Transformers: Armada #5, and by IDW Publishing as Transformers: Megatron origins #1 and Transformers: all hail Megatron #1'--T.p. verso"
Transformers : a visual history,,19569891,Monograph,Language material ; Still image ; Text,Volume,GBB9G8389,9781974710584,,,,,"Sorenson, Jim, editor [person]",,,United States of America,"San Francisco, California","Media, LLC",2019,,"1 volume, illustrations, 31 cm",741.5973,,"Transformers (Fictitious characters)--Comic books, strips, etc ; Science fiction comic books, strips, etc--History and criticism",Comic or graphic novel,English,
Transformers : all hail Megatron #1,The Transformers. Best of Megatron ; Transformers #226 : Aspects of evil ; Transformers #24 : Afterdeath ; Transformers #78 : A savage circle ; Transformers : Armada #5 ; Transformers : Megatron origins #1,15523033,Monograph,Language material ; Text,Volume,GBB046860,9781600107016,,,,,"Sarracini, Chris [person] ; Holmes, Eric [person] ; Budiansky, Bob [person] ; Furman, Simon [person] ; McCarthy, Shane, 1975- [person]",,,United States of America,"San Diego, California",,2010,,"126 pages, chiefly colour illustrations, 26 cm",741.5973,YK.2011.b.2713,"Science fiction comic books, strips, etc ; Transformers (Fictitious characters)--Comic books, strips, etc--Fiction ; Young adult fiction, American",Comic or graphic novel ; Fiction,English,"'2'--Spine ; 'Originally published by Marvel Comics as Transformers #24, Transformers #78, Transformers UK #226, by Dreamwave Productions as Transformers: Armada #5, and by IDW Publishing as Transformers: Megatron origins #1 and Transformers: all hail Megatron #1'--T.p. verso"
Transformers : bots of science,'Bots of science ; Trans formers ; Trans formers animated : bots of science ; Transformers animated (Television program),15619333,Monograph,Language material ; Text,Volume,GBB093315,9781600107672,"Bryant, Megan E.",,person,,"Robbins, Robbie [person] ; Boo, 1981- [person] ; Shalloo, Liam [person] ; Bryant, Megan E. [person] ; Isenberg, Marty [person]","Adventures in reading, junior graphic novel ; Transformers","4 [Adventures in reading, junior graphic novel]",United States of America,"San Diego, California",,2010,,"1 volume (unpaged), chiefly colour illustrations, 23 cm",741.5973,YK.2011.a.11548,"Robots--Comic books, strips, etc--Juvenile fiction ; Transformers (Fictitious characters)--Fiction ; Transformers (Fictitious characters)--Comic books, strips, etc--Juvenile fiction ; Robots--Fiction ; Graphic novels ; Science fiction",Children's fiction ; Comic or graphic novel ; Fiction ; Novel ; Science fiction,English,"'Based on the Transformers Animated: The arrival story 'Bots of science,' written by Marty Isenberg'--T.p. verso"
Transformers : breakdown,,6905320,Monograph,Language material ; Text,Volume,GBA3T4892,9781840237917,,,,,"Budiansky, Bob [person]",Transformers,,England ; United States of America,"London ; Santa Monica, California",Titan,2004,,"1 volume, chiefly colour illustrations, 26 cm",741.5,YK.2006.a.1331,"Graphic novels ; Transformers (Fictitious characters)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Science fiction,English,"'This book collects issues #25-30 of Transformers (volume 1), originally published in single issue form by Marvel Comics, USA'. --T.p. verso"
Transformers : dark star,Dark star,13039850,Monograph,Language material ; Text,Volume,GBA482448,9781840239607,"Budiansky, Bob",,person,,"Budiansky, Bob [person] ; Delbo, José [person]",Transformers,,England,London,Titan,2005,,"1 volume, colour illustrations, 26 cm",741.5973,YK.2011.b.5925,"Transformers (Fictitious characters)--Comic books, strips, etc",Comic or graphic novel,English,
Transformers : end of the road,,13289944,Monograph,Language material ; Text,Volume,GBA576503,9781840233728,"Furman, Simon",,person,,"Furman, Simon [person]",Transformers,,England,London,Titan,2001,,"152 pages, colour illustrations, 26 cm",741.5,YK.2005.b.3432,"Transformers (Fictitious characters)--Comic books, strips, etc",Comic or graphic novel,English,
Transformers : redemption of the Dinobots,Redemption of the Dinobots,19027541,Monograph,Language material ; Still image ; Text,Volume,GBB906740,9781544414508 ; 9781684051830,"Barber, John",1976-,person,writer,"Ramondelli, Livio, artist [person] ; Barber, John, 1976-, writer [person] ; Long, Tom B. [person]",,,United States of America,"San Diego, California","divison of Idea & Design Works, LLC",2018,,"1 volume (unpaged), colour illustrations, 26 cm",741.5973,YKL.2019.b.218,Transformers (Fictitious characters),Comic or graphic novel ; Fiction ; Novel ; Science fiction,English,"Originally published as The Transformers : Punishment, The Transformers : Redemption, and The Transformers : Salvation"
Transformers : robots in disguise,,17471501,Monograph,Language material ; Still image ; Text,Volume,GBB5A5103,9781631404269,"Barber, John",1976-,person,author,"Griffith, Andrew, 1976-, artist [person] ; Barber, John, 1976-, author [person]",,,United States of America,San Diego,,2015,,"1 volume, chiefly colour illustrations, 27 cm",741.5,,"Transformers (Fictitious characters)--Comic books, strips, etc--Fiction",Comic or graphic novel ; Fiction ; Science fiction,English,
Transformers : the animated movie : 20th anniversary special edition,,13629835,Monograph,Language material ; Text,Volume,GBA6A6494,9781600100512,"Budiansky, Bob",,person,,"Budiansky, Bob [person] ; Figueroa, Don [person]",,,England ; United States of America,"London ; San Diego, California",Diamond,2007,,"104 pages, colour illustrations, 27 cm",741.5,YK.2011.b.5813,"Transformers (Fictitious characters)--Comic books, strips, etc",Comic or graphic novel ; Novel,English,
Transformers : the manga. Volume 1,,19666261,Monograph,Language material ; Text,Volume,GBC003184,9781974710560,"Kaneda, Masumi",1958-,person,author,"Kaneda, Masumi, 1958-, author [person] ; Magami, Ban, 1957-, artist [person]",,,United States of America,"San Francisco, California","Media, LLC",2020,,"1 volume, chiefly colour illustrations, 21 cm",741.5952,,"Science fiction comic books, strips, etc ; Transformers (Fictitious characters)--Comic books, strips, etc--Fiction ; Kaneda, Masumi--Translations into English",Comic or graphic novel ; Fiction ; Translations into English,English,Translated from the Japanese
